date,product_id,category,sales_amount,quantity,region,customer_age,discount_rate
2023-02-23,B002,Books,49.71,19,East,61,0.165
2023-02-24,A003,Books,868.36,15,South,48,0.157
2023-02-25,A001,Home,582.89,8,North,70,0.085
2023-02-26,B001,Electronics,444.23,17,North,40,0.089
2023-02-27,A002,Clothing,728.01,1,West,69,0.083
2023-02-28,B001,Books,491.8,12,South,47,0.231
2023-03-01,A002,Clothing,874.69,19,West,50,0.196
2023-03-02,A002,Clothing,901.69,15,East,74,0.25
2023-03-03,B001,Books,427.5,9,North,69,0.293
2023-03-04,B002,Clothing,284.06,7,East,26,0.142
2023-03-05,A002,Books,596.43,2,South,71,0.02
2023-03-06,A002,Clothing,913.24,9,West,64,0.014
2023-03-07,B001,Books,218.56,10,West,18,0.089
2023-03-08,A002,Electronics,626.74,2,West,61,0.28
2023-03-09,A002,Home,635.24,19,East,52,0.157
2023-03-10,B001,Books,735.78,11,North,28,0.082
2023-03-11,B001,Books,140.25,13,East,51,0.12
2023-03-12,A001,Home,718.67,10,East,33,0.18
2023-03-13,B002,Books,909.94,14,South,26,0.196
2023-03-14,B002,Books,187.89,18,South,49,0.046
2023-03-15,A002,Clothing,245.17,19,South,32,0.293
2023-03-16,B002,Home,971.68,9,North,29,0.163
2023-03-17,A002,Electronics,189.17,7,North,50,0.041
2023-03-18,A001,Books,855.84,3,South,62,0.268
2023-03-19,B001,Home,497.36,6,South,31,0.022
2023-03-20,B001,Clothing,254.76,2,North,74,0.272
2023-03-21,B001,Electronics,872.04,6,West,74,0.299
2023-03-22,B002,Home,450.85,3,North,25,0.21
2023-03-23,A001,Electronics,519.67,16,North,25,0.231
2023-03-24,B002,Electronics,365.64,8,North,44,0.101
2023-03-25,B002,Electronics,597.02,2,South,79,0.282
2023-03-26,A001,Books,171.89,17,West,29,0.159
2023-03-27,A001,Books,397.17,9,North,18,0.22
2023-03-28,A001,Clothing,969.72,12,South,60,0.277
2023-03-29,A001,Clothing,265.55,3,East,57,0.293
2023-03-30,B001,Home,660.17,11,East,59,0.25
2023-03-31,A003,Clothing,331.94,1,North,79,0.091
2023-04-01,A003,Electronics,775.74,13,East,68,0.29
2023-04-02,A001,Electronics,139.56,15,West,28,0.188
2023-04-03,A003,Books,970.12,5,East,56,0.279
2023-04-04,A003,Electronics,459.25,17,East,60,0.203
2023-04-05,A001,Home,243.69,6,West,48,0.092
2023-04-06,A003,Electronics,82.76,11,North,34,0.111
2023-04-07,B002,Electronics,178.06,18,North,50,0.165
2023-04-08,A002,Home,524.58,4,West,49,0.237
2023-04-09,A002,Clothing,343.63,3,West,75,0.095
2023-04-10,A001,Clothing,830.59,13,West,46,0.174
2023-04-11,B001,Home,436.58,9,East,38,0.104
2023-04-12,A001,Books,256.23,6,West,38,0.245
2023-04-13,B001,Electronics,620.97,12,South,57,0.14
2023-04-14,A002,Home,709.71,2,East,40,0.023
2023-04-15,A001,Electronics,175.37,3,North,73,0.05
2023-04-16,B002,Books,175.94,3,North,23,0.018
2023-04-17,A003,Electronics,46.3,12,North,39,0.15
2023-04-18,B001,Home,739.04,15,East,67,0.032
2023-04-19,A003,Electronics,667.17,9,South,55,0.034
2023-04-20,A003,Clothing,479.88,8,West,54,0.282
2023-04-21,A001,Books,845.73,11,West,62,0.262
2023-04-22,A003,Books,807.61,16,North,68,0.136
2023-04-23,B002,Books,589.5,4,North,71,0.296
2023-04-24,A003,Home,869.59,1,East,25,0.0
2023-04-25,A001,Books,213.78,7,South,58,0.184
2023-04-26,B002,Clothing,120.8,2,West,66,0.185
2023-04-27,A002,Home,277.05,5,East,52,0.137
2023-04-28,A003,Clothing,66.52,7,West,68,0.119
2023-04-29,A001,Electronics,535.86,4,North,28,0.137
2023-04-30,A002,Electronics,937.24,5,West,41,0.124
2023-05-01,A002,Electronics,48.95,1,South,66,0.219
2023-05-02,B001,Electronics,130.89,1,South,38,0.041
2023-05-03,B002,Clothing,457.68,15,North,68,0.059
2023-05-04,A003,Home,934.54,19,South,19,0.054
2023-05-05,A001,Home,322.99,10,South,57,0.079
2023-05-06,B001,Books,512.16,18,East,36,0.158
2023-05-07,B002,Clothing,51.16,3,West,56,0.033
2023-05-08,B001,Electronics,156.86,11,North,45,0.26
2023-05-09,B002,Clothing,986.76,15,North,76,0.089
2023-05-10,B002,Books,965.47,11,North,34,0.049
2023-05-11,A003,Books,14.89,17,North,23,0.203
2023-05-12,B002,Clothing,952.29,17,North,36,0.011
2023-05-13,B001,Clothing,642.73,6,South,73,0.186
2023-05-14,B002,Clothing,869.24,5,East,55,0.209
2023-05-15,A003,Home,460.19,8,North,45,0.064
2023-05-16,A003,Electronics,520.44,2,East,19,0.013
2023-05-17,B001,Clothing,493.96,16,East,55,0.109
2023-05-18,A002,Clothing,670.2,12,South,72,0.03
2023-05-19,A002,Clothing,148.25,6,North,54,0.035
2023-05-20,B002,Books,39.67,1,South,68,0.076
2023-05-21,A001,Books,314.85,4,North,69,0.089
2023-05-22,B002,Home,707.63,17,South,21,0.159
2023-05-23,B001,Electronics,209.83,13,East,39,0.204
2023-05-24,B001,Home,676.7,18,North,43,0.178
2023-05-25,B001,Electronics,970.21,5,West,66,0.045
2023-05-26,B001,Books,102.96,3,East,60,0.052
2023-05-27,B001,Books,675.88,11,West,53,0.264
2023-05-28,A003,Books,449.31,13,East,75,0.168
2023-05-29,A002,Home,869.46,4,South,30,0.261
2023-05-30,B001,Clothing,185.38,14,North,69,0.111
2023-05-31,A001,Clothing,695.7,11,East,75,0.184
2023-06-01,A001,Books,839.73,10,South,49,0.157
2023-06-02,A001,Clothing,945.17,19,North,34,0.096
2023-06-03,A001,Clothing,686.42,18,North,58,0.141
2023-06-04,A003,Home,502.2,6,East,53,0.151
2023-06-05,A001,Electronics,621.67,15,North,72,0.06
2023-06-06,B001,Books,870.22,10,East,77,0.095
2023-06-07,B002,Books,574.9,5,North,63,0.237
2023-06-08,A001,Home,40.08,5,West,36,0.275
2023-06-09,A003,Home,931.64,10,South,75,0.108
2023-06-10,A003,Clothing,692.63,5,West,77,0.092
2023-06-11,A001,Books,679.75,3,East,52,0.059
2023-06-12,B002,Electronics,223.52,6,West,63,0.204
2023-06-13,A001,Home,662.3,4,East,57,0.097
2023-06-14,A003,Electronics,399.93,18,North,73,0.296
2023-06-15,A002,Electronics,654.72,9,North,76,0.098
2023-06-16,B001,Books,115.53,17,East,45,0.118
2023-06-17,A003,Books,661.27,13,West,18,0.181
2023-06-18,A001,Home,999.42,15,North,59,0.241
2023-06-19,B001,Books,57.73,17,South,35,0.141
2023-06-20,A001,Books,977.4,13,North,65,0.127
2023-06-21,A001,Books,412.84,16,South,57,0.299
2023-06-22,A002,Electronics,872.05,4,West,50,0.003
2023-06-23,B001,Home,784.56,5,South,29,0.269
2023-06-24,B001,Clothing,571.35,5,South,25,0.045
2023-06-25,A002,Electronics,741.06,9,South,41,0.236
2023-06-26,A003,Books,879.73,17,South,33,0.185
2023-06-27,A001,Electronics,410.1,13,North,67,0.103
2023-06-28,B002,Books,333.76,2,South,21,0.262
2023-06-29,A001,Books,670.92,13,North,55,0.004
2023-06-30,A001,Electronics,809.77,19,South,61,0.068
2023-07-01,A003,Home,764.66,3,East,44,0.17
2023-07-02,A001,Books,799.84,10,West,26,0.105
2023-07-03,A002,Home,441.23,2,South,64,0.183
2023-07-04,A002,Clothing,819.66,13,East,33,0.007
2023-07-05,B001,Books,129.01,19,South,73,0.035
2023-07-06,B002,Home,549.04,17,South,29,0.038
2023-07-07,A001,Home,15.7,14,South,48,0.057
2023-07-08,A001,Clothing,331.34,12,East,41,0.138
2023-07-09,A003,Home,372.8,12,West,72,0.226
2023-07-10,A002,Home,402.21,11,East,31,0.272
2023-07-11,B002,Clothing,698.51,7,West,62,0.251
2023-07-12,B001,Books,394.67,4,South,42,0.059
2023-07-13,A002,Home,454.21,19,North,51,0.132
2023-07-14,B001,Home,245.17,1,South,20,0.06
2023-07-15,A003,Home,379.52,3,West,75,0.079
2023-07-16,A003,Electronics,235.0,13,East,41,0.151
2023-07-17,A001,Clothing,82.46,15,South,79,0.02
2023-07-18,B002,Electronics,607.41,2,East,71,0.065
2023-07-19,B001,Clothing,671.53,11,East,59,0.281
2023-07-20,A002,Books,623.3,4,East,26,0.14
2023-07-21,A003,Books,468.86,19,South,43,0.134
2023-07-22,A001,Home,385.99,17,East,37,0.004
2023-07-23,A001,Clothing,864.7,3,East,57,0.074
2023-07-24,B001,Books,523.89,18,South,27,0.26
2023-07-25,A003,Clothing,484.39,8,East,36,0.049
2023-07-26,B002,Books,35.39,19,South,20,0.125
2023-07-27,A003,Electronics,347.84,5,West,41,0.004
2023-07-28,B001,Books,386.39,7,West,22,0.144
2023-07-29,B001,Electronics,404.83,8,West,20,0.006
2023-07-30,A003,Books,584.37,5,East,75,0.246
2023-07-31,B001,Home,538.27,17,North,44,0.247
2023-08-01,A003,Electronics,611.83,5,North,33,0.236
2023-08-02,A002,Books,767.23,4,East,66,0.085
2023-08-03,A003,Home,814.86,19,North,32,0.251
2023-08-04,A003,Electronics,720.94,2,South,52,0.163
2023-08-05,B001,Home,955.97,11,North,29,0.112
2023-08-06,B001,Clothing,28.05,13,East,58,0.188
2023-08-07,A001,Clothing,203.82,15,East,70,0.004
2023-08-08,A001,Electronics,17.49,12,South,61,0.043
2023-08-09,A002,Books,651.0,11,West,43,0.223
2023-08-10,A001,Electronics,899.05,7,East,64,0.073
2023-08-11,A003,Home,251.05,5,South,51,0.179
2023-08-12,B001,Books,927.76,17,North,40,0.116
2023-08-13,A001,Clothing,69.66,9,North,48,0.256
2023-08-14,A001,Books,935.09,14,South,67,0.286
2023-08-15,A002,Clothing,358.11,12,South,37,0.265
2023-08-16,A002,Books,110.41,6,East,29,0.081
2023-08-17,A003,Books,491.01,17,North,40,0.058
2023-08-18,B001,Books,264.21,19,South,21,0.142
2023-08-19,A002,Home,292.02,19,North,40,0.002
2023-08-20,A001,Home,314.22,16,South,65,0.008
2023-08-21,B001,Electronics,805.0,12,North,72,0.166
2023-08-22,B001,Electronics,543.77,12,West,65,0.156
2023-08-23,A001,Clothing,318.19,6,East,18,0.298
2023-08-24,A002,Home,614.23,4,North,71,0.061
2023-08-25,A001,Clothing,718.99,6,West,42,0.077
2023-08-26,B001,Electronics,279.9,11,North,19,0.034
2023-08-27,B002,Clothing,419.41,1,North,47,0.275
2023-08-28,B002,Electronics,130.67,15,West,20,0.233
2023-08-29,A003,Home,189.34,11,North,75,0.247
2023-08-30,A001,Books,684.31,19,North,38,0.271
2023-08-31,A001,Home,189.62,18,East,42,0.157
2023-09-01,A003,Clothing,529.91,17,West,37,0.135
2023-09-02,A003,Clothing,711.96,19,West,66,0.099
2023-09-03,A003,Home,115.81,14,South,69,0.177
2023-09-04,B001,Home,571.64,18,North,39,0.136
2023-09-05,A001,Electronics,264.0,19,East,38,0.135
2023-09-06,B001,Clothing,963.3,15,North,79,0.281
2023-09-07,A003,Clothing,488.71,15,North,78,0.295
2023-09-08,A001,Home,807.93,4,South,50,0.239
2023-09-09,B001,Books,554.72,7,North,69,0.227
2023-09-10,B001,Clothing,52.98,13,East,55,0.204
2023-09-11,A003,Books,636.82,3,East,78,0.05
2023-09-12,A001,Home,951.89,16,South,32,0.018
2023-09-13,A003,Home,605.6,9,North,75,0.207
2023-09-14,A001,Electronics,821.0,8,East,75,0.219
2023-09-15,B002,Clothing,885.36,13,North,63,0.014
2023-09-16,A002,Books,235.8,17,North,69,0.278
2023-09-17,A002,Electronics,219.92,17,North,32,0.027
2023-09-18,A002,Clothing,614.87,17,South,63,0.086
2023-09-19,A003,Electronics,416.92,1,North,42,0.202
2023-09-20,B002,Home,841.46,8,East,38,0.051
2023-09-21,A001,Clothing,901.02,19,North,41,0.017
2023-09-22,B001,Electronics,359.89,6,East,74,0.099
2023-09-23,A001,Electronics,244.5,3,North,75,0.23
2023-09-24,B001,Books,782.72,5,East,22,0.124
2023-09-25,A001,Electronics,282.06,13,East,23,0.196
2023-09-26,B002,Clothing,824.39,15,North,66,0.174
2023-09-27,B001,Clothing,429.5,14,North,60,0.007
2023-09-28,A003,Books,670.87,16,East,65,0.297
2023-09-29,A001,Clothing,104.58,18,West,61,0.012
2023-09-30,A001,Home,627.62,11,South,64,0.29
2023-10-01,B001,Clothing,457.25,3,West,40,0.165
2023-10-02,A003,Clothing,590.74,10,West,21,0.289
2023-10-03,A003,Electronics,176.33,10,North,44,0.034
2023-10-04,B002,Electronics,739.51,16,South,35,0.147
2023-10-05,A003,Clothing,864.17,12,West,38,0.051
2023-10-06,A003,Books,224.57,2,North,45,0.015
2023-10-07,A003,Electronics,104.76,9,West,52,0.185
2023-10-08,A002,Books,33.4,3,West,39,0.062
2023-10-09,B002,Clothing,645.55,15,North,57,0.176
2023-10-10,A001,Clothing,611.02,3,North,40,0.034
2023-10-11,B001,Home,551.23,19,North,20,0.1
2023-10-12,A001,Electronics,239.63,18,South,57,0.234
2023-10-13,B002,Clothing,397.0,8,West,67,0.131
2023-10-14,B001,Home,598.53,17,North,27,0.188
2023-10-15,B002,Electronics,501.8,8,East,42,0.194
2023-10-16,A003,Clothing,987.91,7,West,69,0.253
2023-10-17,B001,Clothing,145.08,7,East,66,0.097
2023-10-18,A003,Electronics,698.19,3,South,25,0.206
2023-10-19,A001,Electronics,410.28,1,North,72,0.288
2023-10-20,A001,Electronics,433.92,4,East,28,0.219
2023-10-21,B001,Clothing,720.42,5,South,78,0.147
2023-10-22,B001,Clothing,695.51,1,North,22,0.189
2023-10-23,B002,Home,991.34,15,East,75,0.222
2023-10-24,B002,Books,137.11,5,East,62,0.184
2023-10-25,A003,Electronics,113.07,13,South,70,0.005
2023-10-26,B001,Clothing,727.1,8,North,72,0.058
2023-10-27,A001,Clothing,582.6,8,North,54,0.243
2023-10-28,B002,Electronics,281.42,5,East,73,0.082
2023-10-29,B002,Books,88.63,9,East,76,0.219
2023-10-30,A001,Electronics,94.8,1,East,62,0.112
2023-10-31,B002,Books,895.25,4,North,55,0.157
2023-11-01,A003,Clothing,199.95,3,South,46,0.02
2023-11-02,B001,Books,330.14,2,South,22,0.054
2023-11-03,A001,Home,234.39,8,North,26,0.287
2023-11-04,B001,Clothing,361.45,9,West,76,0.267
2023-11-05,B002,Home,78.73,2,South,65,0.196
2023-11-06,B002,Electronics,523.87,14,East,19,0.138
2023-11-07,A001,Electronics,76.94,14,West,18,0.203
2023-11-08,A003,Electronics,802.35,4,West,57,0.186
2023-11-09,A002,Books,241.37,6,South,77,0.171
2023-11-10,A001,Clothing,544.61,11,West,68,0.018
2023-11-11,A002,Electronics,881.28,3,West,47,0.19
2023-11-12,A002,Electronics,654.37,8,South,28,0.231
2023-11-13,A003,Clothing,537.63,3,South,45,0.298
2023-11-14,A002,Electronics,331.09,14,West,61,0.003
2023-11-15,A002,Home,339.67,13,East,29,0.219
2023-11-16,A003,Clothing,672.79,13,North,56,0.172
2023-11-17,A002,Clothing,994.2,2,West,43,0.13
2023-11-18,A002,Clothing,665.22,13,West,30,0.038
2023-11-19,A002,Home,562.21,19,East,76,0.123
2023-11-20,A001,Clothing,733.34,6,West,25,0.106
2023-11-21,A001,Home,470.55,16,West,78,0.091
2023-11-22,A001,Clothing,69.54,2,North,78,0.219
2023-11-23,A003,Books,566.67,8,North,71,0.21
2023-11-24,B002,Electronics,958.05,17,North,45,0.177
2023-11-25,A002,Books,183.55,2,South,75,0.282
2023-11-26,A002,Electronics,693.1,10,South,47,0.105
2023-11-27,A003,Home,208.92,16,North,26,0.073
2023-11-28,A002,Books,540.47,6,North,56,0.197
2023-11-29,A001,Clothing,105.71,2,South,48,0.06
2023-11-30,B002,Electronics,455.87,2,East,75,0.095
2023-12-01,B001,Electronics,758.6,13,West,38,0.067
2023-12-02,A002,Books,354.1,15,West,73,0.021
2023-12-03,A001,Home,668.26,2,North,64,0.248
2023-12-04,B001,Books,797.5,7,East,51,0.076
2023-12-05,B002,Home,927.91,3,South,72,0.142
2023-12-06,B001,Home,242.3,8,North,48,0.013
2023-12-07,A001,Electronics,405.32,14,East,69,0.21
2023-12-08,B001,Books,160.89,7,East,42,0.099
2023-12-09,A003,Books,992.56,7,East,29,0.223
2023-12-10,B001,Home,927.73,1,South,18,0.124
2023-12-11,A002,Books,544.56,17,South,72,0.059
2023-12-12,A002,Clothing,843.61,9,West,39,0.154
2023-12-13,A003,Clothing,525.75,13,West,57,0.039
2023-12-14,A001,Books,627.35,19,East,54,0.132
2023-12-15,A002,Books,98.23,19,East,64,0.095
2023-12-16,B002,Home,757.72,17,South,18,0.274
2023-12-17,A002,Clothing,136.44,10,West,18,0.018
2023-12-18,A002,Clothing,827.81,10,East,74,0.208
2023-12-19,A001,Electronics,784.21,4,West,59,0.055
2023-12-20,B001,Home,711.66,8,West,71,0.096
2023-12-21,A002,Electronics,45.8,18,East,59,0.125
2023-12-22,A003,Clothing,310.1,14,South,38,0.272
2023-12-23,B001,Home,270.48,18,East,32,0.073
2023-12-24,B002,Books,366.54,14,East,34,0.027
2023-12-25,A001,Home,96.77,15,West,39,0.096
2023-12-26,B002,Books,937.59,4,East,55,0.031
2023-12-27,B001,Books,558.26,13,South,52,0.039
2023-12-28,B001,Home,312.47,8,East,62,0.172
2023-12-29,B001,Books,403.01,18,South,33,0.018
2023-12-30,B002,Electronics,452.73,12,South,25,0.009
2023-12-31,B001,Clothing,604.59,14,West,79,0.214
2024-01-01,B002,Books,520.52,2,North,64,0.108
2024-01-02,B001,Electronics,920.2,18,North,34,0.038
2024-01-03,A003,Books,501.99,2,West,34,0.076
2024-01-04,B001,Clothing,992.24,11,East,71,0.193
2024-01-05,B002,Electronics,852.91,9,West,43,0.083
2024-01-06,A002,Clothing,216.43,12,South,30,0.148
2024-01-07,B001,Clothing,931.29,17,North,34,0.037
2024-01-08,A002,Electronics,125.2,15,West,55,0.176
2024-01-09,A003,Electronics,819.28,17,East,34,0.095
2024-01-10,A001,Electronics,386.82,18,West,65,0.188
2024-01-11,A003,Home,879.19,6,North,31,0.243
2024-01-12,B001,Electronics,869.38,17,West,62,0.183
2024-01-13,A002,Electronics,807.87,18,West,23,0.089
2024-01-14,A002,Electronics,792.13,8,North,52,0.077
2024-01-15,B002,Electronics,311.63,9,South,63,0.098
2024-01-16,A002,Books,90.11,6,South,31,0.049
2024-01-17,B002,Home,408.95,5,North,64,0.054
2024-01-18,A001,Clothing,181.79,12,West,25,0.237
2024-01-19,B001,Electronics,698.0,11,North,78,0.115
2024-01-20,B002,Books,352.64,1,South,32,0.131
2024-01-21,A001,Books,975.85,11,East,71,0.178
2024-01-22,A002,Books,644.56,19,West,78,0.177
2024-01-23,A002,Clothing,824.26,9,South,44,0.02
2024-01-24,A001,Electronics,141.2,2,West,30,0.249
2024-01-25,A002,Home,863.39,12,North,66,0.053
2024-01-26,A001,Home,923.53,4,East,48,0.217
2024-01-27,B002,Books,492.19,4,North,70,0.232
2024-01-28,B002,Clothing,610.19,18,East,73,0.214
2024-01-29,A001,Clothing,767.16,15,West,52,0.174
2024-01-30,B002,Clothing,183.09,19,West,77,0.004
2024-01-31,B002,Home,507.54,13,North,23,0.108
2024-02-01,B002,Books,404.68,19,East,22,0.181
2024-02-02,A003,Electronics,154.91,17,East,39,0.116
2024-02-03,B001,Home,373.86,6,West,75,0.259
2024-02-04,A002,Books,77.49,16,North,66,0.093
2024-02-05,A003,Books,35.55,12,East,40,0.088
2024-02-06,B002,Electronics,143.81,19,West,42,0.08
2024-02-07,A001,Electronics,963.48,5,South,51,0.1
2024-02-08,B002,Electronics,554.03,17,North,43,0.167
2024-02-09,B001,Clothing,966.16,1,South,64,0.212
2024-02-10,B002,Electronics,438.17,10,North,22,0.199
2024-02-11,A001,Books,318.7,15,West,43,0.242
2024-02-12,B001,Electronics,511.08,11,East,37,0.266
2024-02-13,B002,Books,445.12,13,East,23,0.245
2024-02-14,B001,Home,114.61,5,East,23,0.006
2024-02-15,A002,Clothing,644.42,1,North,76,0.221
2024-02-16,A002,Home,223.88,12,West,67,0.063
2024-02-17,B002,Home,623.39,11,South,35,0.04
2024-02-18,B001,Books,653.7,17,West,21,0.192
2024-02-19,A001,Home,160.5,4,South,34,0.096
2024-02-20,B002,Books,70.74,15,North,74,0.017
2024-02-21,A002,Electronics,782.95,9,North,31,0.041
2024-02-22,A002,Electronics,465.2,19,South,31,0.0
2024-02-23,B002,Books,67.58,19,South,30,0.271
2024-02-24,B001,Electronics,994.92,12,South,24,0.007
2024-02-25,A002,Clothing,67.2,5,West,61,0.063
2024-02-26,B001,Home,698.08,10,South,72,0.125
2024-02-27,A002,Clothing,983.84,17,North,32,0.107
2024-02-28,A002,Home,246.79,5,North,36,0.274
2024-02-29,A003,Electronics,150.83,16,East,60,0.012
2024-03-01,A002,Clothing,130.17,7,South,64,0.154
2024-03-02,A001,Electronics,310.24,9,West,61,0.204
2024-03-03,B002,Home,110.04,3,West,52,0.28
2024-03-04,B002,Books,695.24,15,West,34,0.186
2024-03-05,B001,Books,71.67,16,East,52,0.241
2024-03-06,A002,Clothing,514.33,18,North,36,0.025
2024-03-07,A001,Electronics,996.73,14,West,37,0.116
2024-03-08,B001,Electronics,815.83,3,North,53,0.112
2024-03-09,A003,Clothing,619.07,12,East,52,0.266
2024-03-10,B001,Books,313.19,9,South,49,0.045
2024-03-11,B001,Home,627.66,7,South,75,0.046
2024-03-12,A002,Clothing,531.77,9,South,65,0.099
2024-03-13,A003,Home,431.82,13,West,61,0.016
2024-03-14,B001,Books,139.4,18,South,57,0.055
2024-03-15,A001,Electronics,887.74,5,West,41,0.29
2024-03-16,A001,Books,455.29,13,East,78,0.128
2024-03-17,B002,Clothing,202.68,4,East,78,0.19
2024-03-18,A003,Electronics,374.08,2,West,34,0.218
2024-03-19,A003,Clothing,419.99,16,North,24,0.11
2024-03-20,B002,Clothing,829.26,9,South,60,0.044
2024-03-21,B001,Books,736.28,9,South,67,0.062
2024-03-22,A003,Clothing,771.61,6,South,18,0.094
2024-03-23,A001,Books,20.92,11,West,52,0.191
2024-03-24,A001,Electronics,421.99,1,East,49,0.119
2024-03-25,A002,Books,486.53,4,South,53,0.002
2024-03-26,A003,Electronics,29.0,13,East,30,0.157
2024-03-27,B001,Books,267.22,13,South,23,0.276
2024-03-28,B002,Home,762.69,13,South,75,0.244
2024-03-29,B002,Home,145.74,2,West,31,0.248
2024-03-30,B001,Clothing,539.96,9,North,54,0.239
2024-03-31,A002,Books,223.05,8,West,65,0.097
2024-04-01,B002,Books,22.0,7,South,32,0.23
2024-04-02,A003,Electronics,248.79,4,South,64,0.043
2024-04-03,A002,Clothing,976.12,18,North,79,0.197
2024-04-04,A003,Books,803.52,3,East,21,0.192
2024-04-05,A001,Clothing,959.98,6,East,57,0.008
2024-04-06,A002,Home,492.98,12,South,76,0.236
2024-04-07,B002,Books,118.64,12,East,33,0.271
2024-04-08,A002,Books,552.48,8,South,45,0.08
2024-04-09,A002,Clothing,459.83,1,North,33,0.244
2024-04-10,A002,Books,845.91,4,North,79,0.025
2024-04-11,A002,Clothing,107.1,11,South,21,0.18
2024-04-12,A003,Books,493.36,3,North,62,0.146
2024-04-13,A001,Electronics,158.55,13,West,43,0.164
2024-04-14,B001,Clothing,331.43,17,West,45,0.278
2024-04-15,A002,Books,739.98,10,North,49,0.261
2024-04-16,B002,Home,481.26,12,South,62,0.236
2024-04-17,A002,Books,382.13,15,South,19,0.082
2024-04-18,B002,Home,400.53,10,North,48,0.274
2024-04-19,A003,Home,464.85,14,East,20,0.029
2024-04-20,B002,Electronics,787.17,13,West,71,0.256
2024-04-21,B001,Clothing,893.16,5,East,25,0.098
2024-04-22,A001,Books,955.78,6,South,41,0.016
2024-04-23,B002,Electronics,789.03,2,South,32,0.201
2024-04-24,B002,Books,322.25,17,East,60,0.069
2024-04-25,A001,Home,691.25,4,North,48,0.073
2024-04-26,B001,Clothing,443.23,14,East,26,0.092
2024-04-27,A002,Books,262.12,10,East,56,0.019
2024-04-28,B002,Books,842.46,3,West,62,0.053
2024-04-29,A001,Home,48.04,3,West,19,0.002
2024-04-30,A003,Books,902.74,15,East,25,0.134
2024-05-01,A001,Books,466.86,6,East,24,0.025
2024-05-02,A003,Home,640.83,17,South,73,0.205
2024-05-03,B001,Electronics,662.76,12,West,61,0.071
2024-05-04,A002,Home,896.17,11,West,68,0.283
2024-05-05,A001,Electronics,640.3,4,South,56,0.261
2024-05-06,B002,Clothing,617.79,6,North,59,0.087
2024-05-07,B001,Electronics,75.99,1,West,78,0.235
2024-05-08,A001,Electronics,523.22,16,West,74,0.241
2024-05-09,B002,Clothing,158.67,15,North,33,0.296
2024-05-10,A001,Electronics,740.06,17,West,52,0.179
2024-05-11,A003,Home,517.1,8,West,47,0.025
